team,video,title,artistMain,artistSub,ko_translate,ko_read,en_read,sub1,sub2,sub3
765,https://youtu.be/u1zhXaBImR0,Otome Shin Nusunde!,하루카,,,오토메신누슨데,Otome Shin Nusunde,오토메코코로누슨데,,
765,https://youtu.be/LEBTGkPzkDA,OVERM@STER,프로젝트페어리,미키:타카네:히비키,오바마,오버마스터,OVERM@STER,overmaster,오바마스터,overmster
765,https://youtu.be/LbokP9pIsd4,PEARL WHITE EVE,치하야,,,펄화이트이브,PEARL WHITE EVE,,,
765,https://youtu.be/aEAPzTf7ajw,Pon De Beach,히비키,,폰데비치,퐁데비치,Pon De Beach,노래하자폰데비치,,
765,https://youtu.be/9Pa9sn-CujM,POP STAR,리츠코,,폽스타,팝스타,POP STAR,포푸스타,,
765,https://youtu.be/OBHl0d8pUWQ,Princess Snow White,타카네,,백설공주,프린세스스노우화이트,Princess Snow White,,,
765,https://youtu.be/ewgDzE76V2k,Pu-Ru-Ru,유키호,,,푸루루,Pu Ru Ru,,,
765,https://youtu.be/HtndrPJ6BIY,Q&A,리츠코,,큐앤에이,큐에이,qa,qanda,QnA,
765,https://youtu.be/0JPt8MWkUZw,READY!!,765PRO ALLSTARS,765프로 올스타즈,준비,레디,READY!!,래디,,
765,https://youtu.be/057rpGzXtf8,relations,치하야,,릴레이션,릴레이션즈,relations,,,
765,https://youtu.be/sx5WjNk5dME,Resolution,리츠코,,레졸루션,Resolution,리솔루션,레솔루숀,리솔루숀,레솔루션
765,https://youtu.be/bWtKlsBoxII,rise,치하야,,,라이즈,rise,,,
765,https://youtu.be/tlga-VJD95s,SESSION!,프로젝트 루미너스,하루카:마코토:히비키:이오리:코하쿠,세션,session,,,,
765,https://youtu.be/SeG_sa6R7rg,Shangri-La,치하야,,샹그릴라,샹그리라,shangri la,,,
765,https://youtu.be/Se6IXWd8juA,SHINING STAR★彡,하루카:치하야:유키호,,샤이닝스타,,SHINING STAR,샤이닝구스타,,
765,https://youtu.be/lzIMF4epXLk,Shooting,미키,,난사,슈팅,Shooting,슛팅,,
765,https://youtu.be/7w-HfK9279A,Shy→Shining,765PRO ALLSTARS,765프로 올스타즈,샤이샤이닝,ShyShining,,,,
765,https://youtu.be/9ilB28jQDQE,Slapp Happy!!!,야요이:치하야:이오리,,,슬랩해피,Slapp Happy!!!,,,
765,https://youtu.be/RgxfsiVm1gk,SMOKY FRUITS,류구코마치,이오리:아미:아즈사,,스모키후루츠,SMOKY FRUITS,,,
765,https://youtu.be/i2PIge2aE1Y,SMOKY THRILL,류구코마치,이오리:아미:아즈사,,스모키스릴,SMOKY THRILL,스모키쓰릴,,
765,https://youtu.be/P6hj2Sw1ih4,Snowdome,유키호,,,스노우돔,Snowdome,스노돔,스노우도무,
765,https://youtu.be/7x6ytT_XlRA,SPIRIT,유키호,,영혼,스피릿,SPIRIT,,,
765,https://youtu.be/IC44OOHC1rU,Squall,미키,,스콜,,Squall,,,
765,https://youtu.be/VRF6ou0Gm0M,staple stable,타카네,,스태이플스태이블,스테이플스테이블,staple stable,스태플 스태블,스테플 스테블,
765,https://youtu.be/Wuq_bUoogK4,START!!,하루카,,스타토,스타트,start,,,
765,https://youtu.be/EWbJ5mTn838,Swallowtail Butterfly ~Ai no Uta~,마코토,,,스왈로우테일버터플라이,Swallowtail Butterfly,스왈로우테일버터플라이아이노우타,Swallowtail Butterfly Ai no Uta,
765,https://www.youtube.com/watch?v=82_PvJFcLPY,SWITCH ON,하루카,,SWITCH ON,스위치온,스윗치온,,,
765,https://youtu.be/nkECPjFZP7k,tear,마코토,,눈물,티어,tear,,,
765,https://youtu.be/Xmn2XbqPGR8,THE 愛(The Ai),아이:야요이:마코토:히비키:하루카,,The 아이,더 아이,The Ai,디 아이,,
765,https://youtu.be/hLwXB7AD_hI,THE IDOLM@STER,765PRO ALLSTARS,765프로 올스타즈,더 아이돌마스터,The Idolmaster,THE IDOLM@STER,우타마스,,
765,https://youtu.be/pgnVK0HF9PE,The World Is All One!!,765PRO ALLSTARS:코토리,765프로 올스타즈:코토리,쟈와완,더월드이즈올원,the world is all one,쟈와루드이즈오루완,,
765,https://youtu.be/ZGaNctiy0XI,Tip Taps Tip,미키,,,팁탭스팁,Tip Taps Tip,팁탑스팁,,
765,https://youtu.be/hPzxx9dz5u8,Tip Taps Tip,히비키,,,팁탭스팁,Tip Taps Tip,팁탑스팁,,
765,https://youtu.be/wSVS2esreDQ,TODAY with ME,치하야:유키호:아미:마미:히비키,,투데이윗미,투데이위드미,TODAY with ME,,,
765,https://youtu.be/-ZzfCR3AaHc,TOMORROW,하루카,,내일,투모로우,TOMORROW,,,
765,https://youtu.be/ROcwuMVJxUA,ToP!!!!!!!!!!!!!,765PRO ALLSTARS,765프로 올스타즈,탑,톱,top,,,
765,https://youtu.be/0GkHLnYLPyU,Tower of Adventure,리츠코,,모험의탑,타워오브어드벤쳐,Tower of Adventure,,,
765,https://youtu.be/AB4K017Ve4A,TRIAL DANCE,히비키,,,트라이얼댄스,TRIAL DANCE,트라이얼단스,트라이얼딴스,
765,https://youtu.be/8sVDsXSGW0U,Vault That Borderline,허니 사운드,Honey Sound/하루카:치하야:아즈사:리츠코,국경넘어,vault that borderline,볼트댓보더라인,볼트댓보다라인,,
765,https://youtu.be/kd1MtIqaWZg,VELVET QUIET,아즈사,,,벨벳콰이엇,VELVET QUIET,벨벳콰이앗,,
765,https://youtu.be/fgd_rtYx7ok,Virgin Load,마코토:미키:타카네,,,버진로드,Virgin Load,,,
765,https://youtu.be/vevC9VR15_k,VOY@GER,하루카:마코토:타카네,,보야거,보이져,voyager,voyger,보이저,
765,https://youtu.be/I9Eu8eZqN_s,We just started,미키:타카네:리츠코,,위저스트스타티드,Wejuststarted,,,,
765,https://youtu.be/oCmCLnk9Xt4,WEDDING BELL,리츠코,,,웨딩벨,WEDDING BELL,웨딩베루,,
765,https://youtu.be/K-6XNOEK_lM,WHITE BREATH,마미,,,화이트브레스,WHITE BREATH,,,
765,https://youtu.be/dAX8iv8u7Uw,WINTER COMES AROUND,타카네,,,윈터컴즈어라운드,WINTER COMES AROUND,윈터컴스어라운드,,
765,https://youtu.be/u0c_4jbm7kA,YATTA!,아미,,,얏타,YATTA!,얏따,야따,
765,https://youtu.be/zC9mPDGOuBQ,Yeah! めっちゃホリディ(Yeah! Meccha Holiday),마미,,예멧챠홀리데이,예아멧챠홀리데이,Yeah! Meccha Holiday,예메챠홀리데이,예아메챠홀리데이,
765,https://youtu.be/JYs1vUPjhas,Yes♪,하루카:마코토,,예쓰,예스,YES,,,
765,https://youtu.be/5frCSBIayd8,You're My Only Shinin' Star,아즈사,,유아마이온리샤이닝스타,유알마이온리샤이닝스타,You're My Only Shinin' Star,,,
765,https://youtu.be/5ukIyZI5A4M,YOU往MY進!(YOUou MYshin!),아미,,유왕마이진,유오우마이신,YOUou MYshin!,,,
765,https://youtu.be/t1f9LMaqZJE,zone of fortune,아즈사,,존오브퓨처,존오브퓨쳐,zone of fortune,,,
765,https://youtu.be/l-_MsuN41ow,あ~よかった (A~Yokatta),아미,,아 다행이다,아요캇타,A Yokatta,Ah Yokatta,아요캇타아미버전,아요캇타버전아미
765,https://youtu.be/EnxY10TbLcY,アイ MUST GO! (Ai MUST GO!),하루카:치하야:미키,,아이 머스트 고,AI 머스트 고,Ai MUST GO!,,,
765,https://youtu.be/7_g0RWcNVOk,アイシテの呪縛～Je vous aime ~ (Aishite no jubaku),프로젝트 루미너스,치하야:리츠코:아즈사:타카네:코하쿠,사랑해줘의주박,aishite no jubaku,aishite no jubaku je vous aime,사랑해줘의주박jevousaime,주박,제부젬
765,https://youtu.be/9W5RMYkQcNo,アイスキャンディー(Ice Candy),하루카,,얼음사탕,아이스캔디,Ice Candy,,,
765,https://youtu.be/DfKrmoOfjqc,アクセルレーション(Acceleration),레온,,액셀러레이션,악셀러레이션,Acceleration,엑셀러레이션,가속,
765,https://youtu.be/SZQwim2-D7Y,あたしを彼女にしたいなら(Atashi wo Kanojo ni Shitai Nara),이오리,,나를여자친구로만들고싶다면,아타시오카노죠니시타이나라,atashi o kanojo ni shitai nara,atashi wo kanojo ni shitaai nara,,
765,https://youtu.be/EQNLcM1nP6o,あったかな雪(Attaka na Yuki),미키:야요이:아미:마미,미키:야요이:쌍둥이,따뜻한눈,앗타카나유키,Attaka na Yuki,아따카나유키,아타카나유키,
765,https://youtu.be/RkU5YSn_7q4,アナタのヒトコト (Anata no Hitokoto),하루카:치하야:야요이,,당신의한마디,아나타노히토코토,Anata no Hitokoto,,,
765,https://youtu.be/Aa_sRNno76M,あの日のナミダ(Ano Hi no Namida),유키호,,그날의눈물,아노히노나미다,Ano Hi no Namida,,,
765,https://youtu.be/JAHLYH9A3hQ,アプデ (Update),미키,,아푸데,업데이트,Update,apude,업뎃,업데
765,https://youtu.be/5S73rzlRPVQ,アマテラス (Amaterasu),유키호:아즈사:타카네:리츠코,,아마테라스,,Amaterasu,,,
765,https://youtu.be/TL3uTDy8m0c,アムリタ (Amrita),유키호,,암리타,아무리타,amrita,amurita,,
765,https://youtu.be/YrXT_WHgJUQ,ありがとう･･･(Arigatou...),코토리,,고마워,아리가토우,Arigatou...,아리가토,아리가또,아리가토우
765,https://youtu.be/QXfm7IFzIxA,アルティメットアイズ(Ultimate Eyes),레온,,궁극눈,얼티메이트아이즈,ultimate eyes,얼티메이트아이,얼티밋아이즈,
765,https://youtu.be/BxPANZhJCCA,アンバランスなKissをして(Unbalance na Kiss wo shite),마코토,,언밸런스한키스를 해줘,언밸런스나키스오시테,Unbalance na Kiss wo shite,언바란스나키스오시테,안바란스나키스오시테,
765,https://youtu.be/Lg4DHRygJ3w,イジワルしないで抱きしめてよ (Ijiwaru Shinai de Dakishimete yo),미키,,심술부리지말고안아줘,이지와루시나이데 다키시메테요,Ijiwaru Shinai de Dakishimete yo,어리광부리지말고안아줘,심술내지말고안아줘,
765,https://youtu.be/togtUSSu6X0,イタズラなKISS(Itazura na Kiss),아미,,장난스런키스,이타즈라나키스,Itazura na Kiss,장난스러운키스,,
765,https://youtu.be/CrmWlt5TjXc,イチバンボシ(Ichiban Boshi),유키호,,일등성,이치방보시,ichiban boshi,1등성,이치반보시,
765,https://youtu.be/9_6TyOAtTyc,いっしょ (Issho),하루카:미키:야요이:아즈사:아미:마미,,같이,잇쇼,Issho,이쑈,잇쑈,
765,https://youtu.be/0low4sayo-s,いっぱいいっぱい (Ippai Ippai),아키즈키리츠코,,가득가득,잇빠이잇빠이,Ippai Ippai,입빠이입빠이,안경,이빠이이빠이
765,https://youtu.be/qAtKd96V00o,インセインゲーム(Insane Game),프로젝트페어리,미키:타카네:히비키,미친게임,인세인게임,Insane Game,,,
765,https://youtu.be/8urBjM3ojR4,う・ふ・ふ・ふ(U fu fu fu),아즈사,,우후후후,우푸푸푸,u fu fu fu,,,
765,https://youtu.be/vGcwSyg1OzE,ウイスキーが お好きでしょ (Whiskey ga Osuki desho),아즈사,,,위스키가오스키데쇼,Whiskey ga Osuki desho,위스키를좋아하시죠,위스키좋아하시죠,
765,https://youtu.be/voz_35JOIIw,エージェント夜を往く(Agent Yoru wo Yuku),마코토,,공익 밤을 가다,에이젼트 밤을 가다,Agent Yoru wo Yuku,에이젼트요루오유쿠,에이전트요루오유쿠,에이전트밤을가다
765,https://youtu.be/eCokG8lDaiw,おとなのはじまり (Otona no Hajimari),이오리:야요이:아미:마미,쌍둥이:이오리:야요이,오토나노하지마리,otonanohajimari,어른의시작,,,
765,https://youtu.be/J_a8kldeZhQ,おはよう！！朝ご飯 (Ohayou!! Asa Gohan),야요이,,안녕아침밥,오하요우아사고항,Ohayou!! Asa Gohan,오하요우아사고한,오하요아사고항,오하요아사광
765,https://youtu.be/VpEJKt4jekY,おもいでのはじまり (Omoide no Hajimari),하루카:유키호:마코토,,오모이데노하지마리,omoidenohajimari,추억의시작,,,
765,https://youtu.be/6g3S6qTCkFk,オリビアを聴きながら(Olivia wo Kiki Nagara),치하야,,올리비아를들으면서,올리비아오키키나가라,Olivia wo Kiki Nagara,올리비아를들으며,올리비아,
765,https://youtu.be/CStcW8P7qBo,カーテンコール (Curtain Call),이오리:마코토:미키:야요이:유키호:히비키,,커튼 콜,Curtain Call,카튼콜,,,
765,https://youtu.be/qjc3NHw9pjQ,ガーネット(Garnet),이오리,,,가넷,Garnet,,,
765,https://youtu.be/M4QO5UWRn6I,かざぐるま(Kazaguruma),히비키,,바람개비,카자구루마,Kazaguruma,,,
765,https://youtu.be/NoKmMSNWKtc,かたちあるもの(Katachi Aru Mono),타카네,,형태가있는것,카타치아루모노,Katachi Aru Mono,형체가있는것,,
765,https://youtu.be/MMj7EBQmudg,カプチーノ(Cappuccino),이오리,,,카푸치노,Cappuccino,,,
765,https://youtu.be/m9Jn5knXaDM,カンゲキハッピーエコロジー(Kangeki Happy Ecology),야요이,,감격해피이콜로지,칸게키해피에콜로지,Kangeki Happy Ecology,칸게키하피에코로지,감격해피에콜로지,
765,https://youtu.be/NyNa9nGHPxg,キミ＊チャンネル(Kimi Channel),하루카:히비키:마코토,,너채널,키미채널,Kimi Channel,키미찬네루,니채널,네채널
765,https://youtu.be/jBWjwFDHmFQ,キューティーハニー (Cutie Honey),타카네,,,큐티하니,Cutie Honey,큐티허니,,
765,https://youtu.be/Jw3MU3AtNq4,きゅんっ！ヴァンパイアガール(Kyun!Vampire Girl),프로젝트페어리,미키:타카네:히비키,큥뱀파,큥뱀파이어걸,Kyun!Vampire Girl,,,
765,https://youtu.be/eGNLEZKvRZs,キラメキラリ (Kiramekirari),야요이,,,키라메키라리,Kiramekirari,,,
765,https://youtu.be/C3DmIsqYRLk,グッナイ☆スターズ (Goodnight Stars),미키:유키호:타카네:아즈사,,굿나이트스타즈,굿나잇스타즈,Goodnight Stars,,,
765,https://youtu.be/syvziV0nsxs,クリスマス・イヴ(Christmas Eve),하루카:치하야,,,크리스마스 이브,Christmas Eve,,,
765,https://youtu.be/RPIEFcNgpDE,ゲンキトリッパー (Genki Tripper),야요이,,활발트립퍼,GenkiTripper,겡키트리퍼,겐키트리퍼,겐키트립퍼,겡키트립퍼
765,https://youtu.be/4WTvcQPqGYY,コーヒー1杯のイマージュ(Coffee Ippai no Image),아미,아미:마미:히비키:마코토,커피한잔의이미지,커피 잇빠이노이미지,Coffee Ippai no Image,커피잇빠이노이마쥬,커피한잔의이마쥬,
765,https://youtu.be/gLdCpRMquOo,コイ・ココロ(Koi Kokoro),아즈사,,연심,코이코코로,Koi Kokoro,,,
765,https://www.youtube.com/watch?v=ccaXm8y8PaQ,ザ・ライブ革命でSHOW！ (The Live Kakumei de SHOW!),미키:야요이:마코토:아미:마미:타카네,,더 라이브 혁명 데 쇼,더라이브카쿠메이데show,The Live Kakumei de SHOW!,더라이브카쿠메이데쇼,혁명데쇼,라이브혁명하쇼
765,https://youtu.be/otPcZzBPC8A,サイレント・イヴ(Silent Eve),치하야,,사일렌트이브,사일런트이브,Silent Eve,,,
765,https://youtu.be/AxyyErGbKFkk,サニー (Sunny),아미:마미:아즈사:이오리:유키호:리츠코,,서니,Sunny,써니,사니,싸니,
765,https://youtu.be/kKbv18zFimM,さよならをありがとう(Sayonara no Arigato),하루카,,이별을감사해,사요나라노아리가토우,Sayonara wo Arigato,이별에감사해,사요나라오아리가토,사요나라오아리가또
765,https://youtu.be/i-tiMMULklM,サンタが町にやってくる (Santa ga Machi ni Yattekuru),하루카:치하야:미키:야요이:마코토,,산타가 마을에 찾아와,산타가마치니얏테쿠루,Santa ga Machi ni Yattekuru,산타가 마을에 온다,,
765,https://youtu.be/WGIgjxNMCH0,サンタクロースはどこのひと (Santa Klaus wa Doko no Hito),야요이,,산타클로스는어디의사람,산타클로스와도코노히토,Santa Klaus wa Doko no Hito,,,
765,https://youtu.be/zMwWvHNPElA,シーズン・イン・ザ・サン(Season in the Sun),마코토,,시즌인자산,시즌인더선,Season in the Sun,시즌인쟈산,,
765,https://youtu.be/FMEPNOIkXoo,しあわせのレシピ(Shiawase no Recipe),히비키,,행복의 레시피,시아와세노레시피,Shiawase no Recipe,,,
765,https://youtu.be/WWWmnIoAmoc,ジェミー,마미,,,제미,jemi,Gemmy,,
765,https://youtu.be/sWc7Ccs5n8w,しっくりとゆっくりと(Shikkuri to Yukkuri to),치하야,,차분하게 느긋하게,싯쿠리토윳쿠리토,Shikkuri to Yukkuri to,차분히 느긋하게,차분히 느긋히,시쿠리토유쿠리토
765,https://youtu.be/3vrXJT3E9xM,シャララ(Shalala),아즈사:리츠코,,샤라라,,Shalala,샬랄라,샤랄라,샬랄라
765,https://youtu.be/lZg8Mj4ASIc,じゅもんをあげるよ (Jumon o Ageru yo),야요이,,주문을 걸어줄게,Jumun o Ageru Yo,Jumun wo Ageru Yo,주문오아게루요,,
765,https://youtu.be/S1D7PJZrpSA,ショッキングな彼(Shocking na Kare),미키,,쇼킹한카레,쇼킹나카레,shocking na kare,숏킨구나카레,쇼킹한그,
765,https://youtu.be/WwQvCNGNPyc,すいみん不(Suimin Fusoku),미키,,수면부족,스이민후소쿠,Suimin Fusoku,,,
765,https://youtu.be/0Q33f2R9Nn0,スウィートドーナッツ (Sweet Donuts),유키호,,스윗도나쓰,스윗도너츠,Sweet Donuts,스윗도넛,스윗도넛츠,스위트도넛
765,https://youtu.be/T1A6Ok2nh6M,スキ(suki),하루카:치하야:아미,아미,좋아,스키,suki,,,
765,https://youtu.be/2k-6sxZ6RV0,スタ→トスタ→ (Start→Star→),아미:마미,,스타토스타,스타트스타,Start Star,너는멜로디,,
765,https://youtu.be/D1hzh0GbJnM,すてきなホリデイ(Suteki na Holiday),아즈사,,스테키나holiday,스테키나홀리데이,suteki na holiday,,,
765,https://youtu.be/cCQYh9WJc5Y,ステキハピネス(Suteki Happiness),하루카,,스테키happiness,스테키해피니스,Suteki Happiness,근사한해피니스,,
765,https://youtu.be/3j5f7r5NjMg,ストレートラブ! (Straight Love!),하루카:마코토:이오리,프로젝트페어리/미키:히비키:타카네,스토레이토러브,스트레이트러브,Straight Love!,스트레이토러브,스트레이토라브,스토레이토라브
765,https://youtu.be/nB--sWTGwe4,スマイル体操(Smile Taisou),야요이,,스마일체조,스마일타이소우,Smile Taisou,Smile체조,스마일타이소,
765,https://youtu.be/iFCYpz0OGj8,セクシータイフーン (Sexy Typhoon),마미,,섹시태풍,섹시타이푼,Sexy Typhoon,,,
765,https://youtu.be/gYCcONNfiFU,せぷてんばぁ(September),타카네,,9월,셒템버,September,세푸텐바아,셉템버,셉템바
765,https://youtu.be/KCiDoTsbFu4,そしてぼくらは旅にでる(그리고 우리는 여행을 떠난다),하루카:유키호:야요이:아즈사,,그리고 우리는 여행을 떠난다,소시테보쿠라와타비니데루,soshite bokurawa tabini deru,,,
765,https://youtu.be/FmcT80dmvf8,ソナー (Sonar),이오리,,음탐,소나,Sonar,sona,,
765,https://youtu.be/FFynyC0Y12w,それが愛でしょう (Sore ga Ai deshou),하루카,,그것이 사랑이겠죠,Soregaaideshou,그것이사랑이죠,그게사랑이겠죠,그게사랑이죠,소레가아이데쇼
765,https://youtu.be/siKc0pucfbk,たいせつなひと(Taisetsu na Hito),마코토,,소중한사람,타이세츠나히노,Taisetsu na Hito,,,
765,https://youtu.be/YorjN8s0Nr4,ダンス・ダンス・ダンス (Dance Dance Dance),루미너스 아주르,치하야:리츠코:아즈사:타카네:레온:코하쿠,단스단스단스,dance dance dance,댄스댄스댄스,춤춤춤,딴딴딴,딴스딴스딴스
765,https://youtu.be/qLIXZgYl-vo,チアリングレター (Cheering Letter),마코토,,,치어링레터,Cheering Letter,치어링래터,,
765,https://youtu.be/7FlFKZ1P62Q,チェリー(Cherry),하루카:이오리:히비키:리츠코:유키호,,,체리,Cherry,,,
765,https://youtu.be/zfCxtwxBfKM,チキンライス(Chicken Rice),야요이,,닭고기덮밥,치킨 라이스,Chicken Rice,,,
765,https://youtu.be/GaolISvU1NU,チクタク (Chikutaku / Tick Tock),미키:야요이:유키호,,틱톡,치쿠타쿠,Tick Tock,시계,,
765,https://youtu.be/iLvdyzAIYP0,チャンピオン (Champion),미키,,챔피온,챔피언,Champion,참피온,참피안,참피언
765,https://youtu.be/scuhpu1acc4,トイレの神様 (Toilet no Kamisama),야요이,,화장실의신,토이레노카미사마,Toilet no Kamisama,화장실의신님,화장실의여신,
765,https://youtu.be/qVvh2DHYyKU,ドゥー・ユー・リメンバー・ミー (Do You Remember Me),이오리,,,두유리멤버미,Do You Remember Me,,,
765,https://youtu.be/gK8WtaKILqE,ドキッ ラブアトラクション(Doki Love Attraction),아미:마미,,도킷러브어트랙션,도키러브어트랙션,Doki Love Attraction,러브어트랙션,,
765,https://youtu.be/WTO3uOK0jHA,どっきり☆ハピバ (Dokkiri Happy Birthday),아미:마미,,돗키리HappyBirthday,돗키리해피버스데이,Dokkiri Happy Birthday,Happy Birthday,,
765,https://youtu.be/OVGxDLIx-QQ,トリプルAngel (Triple Angel),아미,,트리플angel,트리플엔젤,Triple Angel,트리후엔제루,트리플엔제루,
765,https://youtu.be/PlC3vqZQkt0,ナツノハナ (Natsu no Hana),마코토,,나츠노하나,나쓰노하나,Natsu no Hana,여름의꽃,,
765,https://youtu.be/AI_zhuXB-7g,なんどでも笑おう (nandode mo waraou),하루카:치하야:미키,,몇번이고웃자,난도데모와라오,nandode mo waraou,난도데모와라오우,,
