team,video,title,artistMain,artistSub,ko_translate,ko_read,en_read,sub1,sub2,sub3
케이온,https://youtu.be/pEqIvq9MxLc, Come With Me,,,,컴위드미, Come With Me,컴윗미,,
하루히,https://youtu.be/Xu12vVY8thc,<친구로서는 그거>가 되고 있다 (Tomodachi to shite wa sore ga),타니구치,,친구로서는 그거가 되고 있다,토모다치 토 시테 와 소레 가,tomodachi to shite wa sore ga,,,
러키스타,https://www.youtube.com/watch?v=IsdEEfIWoKE,100%아니야 아니야 아니야,,,100%아니야 아니야 아니야,100%나이나이나이,100%nainainai,,,
러키스타,https://www.youtube.com/watch?v=wLtVF8VUlw8,가져가! 세라복,,,가져가세일러복,못테케세라후쿠,mottekeserafuku,,,
하루히,https://www.youtube.com/watch?v=iuvO3PJ_6rA,격렬하고 화려한 날들 (Gekiretsude kareinaru hibi),,,격렬하고 화려한 날들,게키레츠데 카레이니나루 히비히비,Gekiretsude kareinaru hibi,,,
쿄애니,https://www.youtube.com/watch?v=R06wLP3lwjE,경단대가족 (Dango DaiKazoku),,,경단대가족,당고다이가조쿠,Dango Dai kazoku,,,
하루히,https://youtu.be/GcrOx-mvOoI,구부러져라↓ 스펙터클 (Maggaare↓ Spectacle),코이즈미이츠키,,구부러져라↓ 스펙터클,마가레 스펙타클,maggaare spectacle,Magare Spectacle,마가레 스펙터클,
하루히,https://youtu.be/N_yktcPtWKQ,구부러져라↓ 스펙터클 리믹스,코이즈미이츠키,,구부러져라 스펙타클 리믹스,마가레스펙타클 리믹스,Maggaare↓ Spectacle remix,마가레스펙터클 리믹스,,
하루히,https://youtu.be/P0mgOSdfTs4,권태라이프 리턴즈! (Kentai Raifu Ritaanzu),쿈,,권태라이프 리턴즈!,켄타이라이후리타안즈,kentai raifu ritaanzu,Kentai Life Returns,,
하루히,https://www.youtube.com/watch?v=cdOZogTrw-U,그 상태로 JET JUMPER,스즈미야하루히:나가토유키:아사히나미쿠루,,그 상태로 JET JUMPER,소노마마제트점퍼,Sono mama JET JUMPER,그대로제트점퍼,,
하루히,https://youtu.be/8aKSnW85NuY,그날의 하늘은 반드시 푸르다 (Sono hi no sora wa kitto Aoi),스즈미야하루히,,그날의 하늘은 반드시 푸르다,소노히소라와킷토아오이,sono hi sora wa kitto aoi,,,
하루히,https://www.youtube.com/watch?v=nC2VCRoNHBA,그노시엔느 3번,,,그노시엔느3,그노시엔느다이산반,Gnossiennes Dai 3 Ban,Gnossiennes no3,,
하루히,https://youtu.be/iyg6qKOT-Uw,그래도 지구는 돌고 있으니까 (Datte Chikyuu wa mawaru kara),,,그래도 지구는 돌고 있으니까,닷테치큐우와마와루카라,datte chikyuu wa mawaru kara,,,
쿄애니,https://www.youtube.com/watch?v=fayCDyH7vR0,길잡이 (Michishirube),,,길잡이,미치시루베,Michishirube,,,
하루히,https://www.youtube.com/watch?v=xSrXvVLQKJY,나가토Vs아사쿠라,,,나가토 대 아사쿠라,Nagatovsasakura,하망호,하망호4번함,나가토대아사쿠라,
하루히,https://www.youtube.com/watch?v=xxd3KuUP0rM,나니카가 오카시 (Nanikaga Okashii),,,무언가 이상하다,나니카가 오카시이,Nanikaga Okashii,나니카 오카시,나니카가 오카시,무언가가 이상하다
케이온,https://www.youtube.com/watch?v=BL55EoFfuNM,날개를 주세요,,,날개를 주세요,츠바사오구다사이,Tsubasaa wo kudasai,,,
케이온,https://youtu.be/ZpH7-axD_NI,내 사랑은 호치키스,,,내 사랑은 호치키스,와타시노코이와호치키스,Watashi no koi wa hoccikisu,,,
하루히,https://youtu.be/DRQv9pLak1I,놀이와 배움의 고요함 (Asobi no Manabi no Shizukesano,나가토유키,,놀이와 배움의 고요함,아소비노마나비노시즈케사노,asobinomanabinoshizukesano,,,
하루히,https://www.youtube.com/watch?v=8pJeix2zeBE&,눈 무음 창가에서  (Yuki Muon Madobe Nite),나가토유키,,눈 무음 창가에서,유키무온마도베니테,YukiMuonMadobenite,눈무음,눈무창,
하루히,https://youtu.be/JGwZZeARNsc,눈 무음 창가에서 리믹스,나가토유키,,,유키무온마도베니테 리믹스,Yuki Muon Madobe Nite Remix,눈무음 리믹스,눈무창 리믹스,
하루히,https://youtu.be/MKDdxEecWhU,눈 무음 창가에서 현주 (Yuki Muon Madobe Nite Gensou),,,눈 무음 창가에서 현주,유키무온마도베니테 겐소우,yuki muon madobenite gensou,눈무음 현주,눈무창 현주,
하루히,https://www.youtube.com/watch?v=TthwZJfwtL0,단순한 비밀 (Tada No Himitsu),코이즈미이츠키,,단순한 비밀,타다노히미츠,tada no himitsu,그냥비밀,,
러키스타,https://www.youtube.com/watch?v=zY_2Rg6YBqg,돈다케 팡파레,,,,돈다케 팡파레,dondake fanfare,,,
러키스타,https://www.youtube.com/watch?v=OpJM3cHVmZs,돌려줘 니삭스,,,돌려줘 니삭스,카에시테 니삭스,Kaeshite Nisokkusu,,,
쿄애니,https://www.youtube.com/watch?v=ILksSFbKekU,드라마틱 마켓 라이드 (Dramatic Market Ride),,,,드라마틱 마켓 라이드,Dramatic Market Ride,,,
러키스타,https://www.youtube.com/watch?v=dWU4ADUQMeo,롤리타제국 미소녀 탐정 (Lolita Teikoku Bisho-jo Taitei),,,롤리타 제국 미소녀 탐정,로리타제국미소녀탐정,lolita teikoku bishojo tantei,lolita teikoku bishoujo tantei,로리타테이코쿠비쇼우죠탄테이,로리타테이코쿠비쇼죠탄테이
하루히,https://www.youtube.com/watch?v=ha10Wu3xEbU,마지막 미래를 보여줘 (Saushuu Mirai Wo Misete),스즈미야하루히:나가토유키:아사히나미쿠루,,최종 미래를 보여줘,사이슈우미라이오미세테,Saishuu Mirai Wo Misete,마지막 미래를 보여줘,,
하루히,https://youtu.be/Xs0XD-SuBtU,맑게 맑게 유쾌하게,나가토유키,,맑게 맑게 유쾌하게,하레하레유카이,hare hare yukai,하레하레유카이,맑게 맑게 유쾌하게,하레하레
하루히,https://youtu.be/zkI10dHD4ZA,맑게 맑게 유쾌하게,쿈,,맑게 맑게 유쾌하게,하레하레유카이,hare hare yukai,하레하레유카이,맑게 맑게 유쾌하게,하레하레
하루히,https://youtu.be/zlPjJycSpQU,맑게 맑게 유쾌하게,아사히나 미쿠루,,맑게 맑게 유쾌하게,하레하레유카이,hare hare yukai,하레하레유카이,맑게 맑게 유쾌하게,하레하레
하루히,https://youtu.be/IdRjcMAiubY,맑게 맑게 유쾌하게,츠루야,,맑게 맑게 유쾌하게,하레하레유카이,hare hare yukai,하레하레유카이,맑게 맑게 유쾌하게,하레하레
하루히,https://youtu.be/J7YYQUYbLLg,맑게 맑게 유쾌하게,아사쿠라료코,,맑게 맑게 유쾌하게,하레하레유카이,hare hare yukai,하레하레유카이,맑게 맑게 유쾌하게,하레하레
하루히,https://youtu.be/oyW6CpcIdro,맑게 맑게 유쾌하게,코이즈미 이츠키,,맑게 맑게 유쾌하게,하레하레유카이,hare hare yukai,하레하레유카이,맑게 맑게 유쾌하게,하레하레
하루히,https://youtu.be/oYwr68ObbMg,맑게 맑게 유쾌하게,쿈의여동생,,맑게 맑게 유쾌하게,하레하레유카이,hare hare yukai,하레하레유카이,맑게 맑게 유쾌하게,하레하레
하루히,https://youtu.be/yc8NiSWbvSc,맑게 맑게 유쾌하게,키미도리에미리,,맑게 맑게 유쾌하게,하레하레유카이,hare hare yukai,하레하레유카이,맑게 맑게 유쾌하게,하레하레
하루히,https://youtu.be/nCISdmhD-e8,맑게 맑게 유쾌하게,스즈미야하루히:나가토유키:아사히나미쿠루,,맑게 맑게 유쾌하게,하레하레유카이,hare hare yukai,하레하레유카이,맑게 맑게 유쾌하게,하레하레
하루히,https://www.youtube.com/watch?v=7zhgyAbsMko&feature=emb_title,맑게 맑게 유쾌하게,스즈미야하루히,,맑게 맑게 유쾌하게,하레하레유카이,hare hare yukai,하레하레유카이,맑게 맑게 유쾌하게,하레하레
하루히,https://www.youtube.com/watch?v=evSmWScDWMw,맑게 맑게 유쾌하게,유메미리아무,,맑게 맑게 유쾌하게,하레하레유카이,hare hare yukai,하레하레유카이,맑게 맑게 유쾌하게,하레하레
하루히,https://youtu.be/gpjHke17zSQ,맑게 맑게 유쾌하게 리믹스,,,하레하레유카이 리믹스,,hare hare yukai remix,,,
하루히,https://youtu.be/4JYxD9xVwXQ,맑게 맑게 유쾌하게 현주 (Hare Hare Yukai Gensou),,,맑게 맑게 유쾌하게 현주,하레하레유카이 겐소우,hare hare yukai  gensou,하레하레 현주,,
하루히,https://www.youtube.com/watch?v=5R1rpSSTDMQ,멈춰라! (Tomare!),스즈미야하루히:나가토유키:아사히나미쿠루,,멈춰라,토마레,Tomare,멈춰,,
하루히,https://www.youtube.com/watch?v=m9LRERMcOm0,모험이지 그렇지 (Bouken Desho Desho),스즈미야하루히,,모험이죠 그렇죠,보우켄데쇼데쇼,BoukenDeshoDesho,보켄데쇼데쇼,보켄데쇼,모험이지 그렇지
하루히,https://www.youtube.com/watch?v=RvMVoXeIOik,모험이지 그렇지,프레데리카,후레데리카,모험이죠 그렇죠,보우켄데쇼데쇼,BoukenDeshoDesho,보켄데쇼데쇼,보켄데쇼,모험이지 그렇지
하루히,https://www.youtube.com/watch?v=5NiCu0X-tlA,모험이지 그렇지 리믹스,,,모험이죠 그렇죠 리믹스,보켄데쇼데쇼 리믹스,Bouken Desho Desho Remix,보켄데쇼 리믹스,,
하루히,https://www.youtube.com/watch?v=AgryOLprrzc,모험이지 그렇지 소실,스즈미야하루히,,모험이죠 그렇죠 소실,보우켄데쇼데쇼 소시츠,BoukenDeshoDeshoShoushitsu,보켄데쇼 소실,모켄데쇼데쇼 소실,
하루히,https://www.youtube.com/watch?v=3_PWCB-kfJM,모험이지 그렇지 현주,,,모험이죠 그렇죠 현주,보우켄데쇼데쇼겐소우,BoukenDeshoDeshoGensou,보켄데쇼현주,보켄데쇼데쇼현주,
하루히,https://youtu.be/HMgO2Da9QZA,바람을 읽는 리본 (Kaze Yomi Ribbon),스즈미야하루히,,바람을 읽는 리본,카제요미리본,kaze yomi ribbon,,,
케이온,https://youtu.be/B4mE6e2CUOU,밥은 반찬,,,,고항와오카즈,Gohan wa Okazu,,,
하루히,https://youtu.be/-mpProSVhx4,사랑의 미쿠루 전설 (Koi no Mikuru densetsu),아사히나 미쿠루,,사랑의 미쿠루 전설,코이노미쿠루덴세츠,koi no mikuru densetsu,,,
하루히,https://www.youtube.com/watch?v=N31laxAQmOk&feature=emb_title,사랑의 미쿠루 전설 현주,,,사랑의 미쿠루 전설 현주,코이노미쿠루덴세츠겐소우,koi no mikuru densetsu gensou,,,
하루히,https://youtu.be/dWXcreQVtRk,사랑해! (Aishite!),스즈미야하루히,,사랑해!,아이시테,Aishite,,,
하루히,https://youtu.be/pK8ESpXJEPg,상냥한 망각 (sincerity),나가토유키,,상냥한 망각 sincerity,야사시이 보우캬쿠 sincerity,Yasashii Boukyaku Sincerity,,,
하루히,https://www.youtube.com/watch?v=aHg3yJXGkdg,상냥한 망각 (sonority),나가토유키,,상냥한망각sonority,야사시이 보우캬쿠 sonority,Yasashii Boukyaku sonority,상냥한 망각,,
쿄애니,https://www.youtube.com/watch?v=pr6LQLHNsTA,상냥함의 이유,,,,야사시사노리유,Yasashisa no Riyuu,,,
하루히,https://youtu.be/65LhHQLh2QI,새끼손가락으로 꾸욱! (Ko Yubi De Gyu!),아사쿠라료코,,새끼손가락으로 꾸욱!,코유비데규,koyubidegyu,,,
쿄애니,https://www.youtube.com/watch?v=bwnJDz8n9bQ,새의 시 (Tori No Uta),,,새의 시,토리노우타,Tori no uta,,,
하루히,https://youtu.be/sLsBCjeQNyo,세계가 꿈꾸는 꿈의 한 가운데에서 (Sekai ga yumemiru yume no naka),스즈미야하루히:나가토유키:아사히나미쿠루,,세계가 꿈꾸는 꿈의 한 가운데에서,세카이가유메미루유메노나카,sekai ga yumemiru yume no naka,,,
하루히-성덕,https://www.youtube.com/watch?v=Kx1K_lSKQ88,스피드스타 (Speed Star),히라노아야,,스피드스타,Speed Star,속도별,혜성,,
하루히,https://www.youtube.com/watch?v=WqXHbZxFzAE,슬픔이 넘쳐흘러 (Sabishimi Afureru),,,슬픔이 넘쳐흘러,Sabishimi Afureru,사비시가 아후레루,,,
쿄애니,https://www.youtube.com/watch?v=H5CFkvSZCJk,시간을 새기는 노래 (Toki wo kizamu Uta),,,시간을 새기는 노래,토키오키자무우타,tokiwokizamuuta,,,
하루히,https://youtu.be/xjILqYX6Qpg,시간의 퍼즐 (Toki No Puzzle),아사히나 미쿠루,,시간의 퍼즐,토키노퍼즐,toki no puzzle,,,
하루히,https://youtu.be/_VkRXkiQl6s,시시한 이야기예요 라고 저는 말할겁니다 (Tsumaranai Hanashi Desuyo To Boku wa Iu),코이즈미이츠키,,시시한 이야기예요 라고 저는 말할겁니다,츠마라나이하나시데스요토보쿠와이우,tsumaranai hanashi desu yo to boku wa iu,,,
쿄애니,https://www.youtube.com/watch?v=8sZXUQqkSXE,신세계에서,,,신세계에서,Shinsekai Yori,From the new world,,,
하루히,https://youtu.be/zmR1OSIhM8g,어... 리턴즈해서 리벤지! (Etto Returns Shite Revenge!),아사히나 미쿠루,,리턴즈해서 리벤지!,엣토리턴즈시테리벤지,etto returns shite revenge,어 리턴즈해서 리벤지,,
하루히,https://www.youtube.com/watch?v=tLUegKLP-zI,어느 비 오는 날,,,썸데이인더레인,AruAmeNoHi,Someday In the rain,섬데이인더레인,아루아메노히,
하루히,https://youtu.be/4JaYh-l47Pg,언제나의 풍경 (Itsumo no Fuukei),,,언제나의풍경,이츠모노후우케이,itsumo no fuukei,,,
하루히,https://www.youtube.com/watch?v=ci4F-xbgZf4,언제나의 풍경에서 끝나는 이야기,,,언제나의풍경에서끝나는이야기,이츠모노후케이데오와루모노가타리,Itsumo no Fuukei de Owaru Monogatari,,,
하루히,https://www.youtube.com/watch?v=YdBMpSweDD0,언제나의 풍경에서 시작되는 이야기,,,언제나의풍경소실,이츠모노후케이카라하지마루모노가타리,itsumo no fuukeikara hajimaru monogatari,언제나의 풍경에서 시작하는 이야기,,
하루히,https://youtu.be/Yp9he4jTSQ4,여동생을 잊으면 사형이야 (Imouto wasurecha Oshioki yo),쿈의여동생,,여동생을 잊으면 사형이야,이모우토 와스레챠 오시오키 요,imouto wasurecha oshioki yo,,,
러키스타,https://www.youtube.com/watch?v=4Ddpha8WWcA,우정전대 다라레인져 (Yuuchou Sentai Dararenjaa),,,우정전대 다라레인져,Yuuchou Sentai Dararenjaa,유우쵸우 센타이 다라렌쟈,,,
하루히,https://youtu.be/kGT4zPkmb28,운명적 사건의 행복 (Unmeiteki Jiken No Koufuku),스즈미야하루히:나가토유키:아사히나미쿠루,,운명적 사건의 행복,운메이테키 지켄 노 코우후쿠_,Unmeiteki jiken no koufuku,,,
하루히,https://youtu.be/D6jqzkzGNAw,이상해요 무서워요 (Hen Desu Kowai Desu),아사히나 미쿠루,,이상해요 무서워요,헨데스코와이데스,hen desu kowai desu,,,
쿄애니,https://www.youtube.com/watch?v=QUlv-6l0fic,이종간 커뮤니케이션 (Ishuukan Communication),,,이종간 커뮤니케이션,이슈우칸커뮤니케이션,Ishuukan communication,,,
케이온,https://youtu.be/iDPb_lyqH-k,이치방 잇빠이 (Ichiban Ippai),,,이치방 입빠이,이치방 잇빠이,Ichiban Ippai,이치방 잇파이,이치방 입파이,
하루히,https://youtu.be/QtXutVcPifI,인생의 주역 콜! (Jinsei no shuyaku Call),타니구치,,인생의 주역 콜!,진세이노슈야쿠콜,jinsei no shuyaku call,,,
러키스타,https://www.youtube.com/watch?v=9pAHsMkFlvs&t=157s,잠자기로 리셋!,,,잠자기로 리셋,네니게데리셋,Nenigederisetto,,,
하루히,https://youtu.be/THNwKmbj4GM,잠재적 태양의 증명,스즈미야하루히:나가토유키:아사히나미쿠루,,잠재적 태양의 증명,,,,,
하루히,https://youtu.be/wuQDimt2c1c,제사 후 제사! 어서 오세요 (Matsutte Matsutte Irassha),츠루야,,제사 후 제사! 어서 오세요,마츳테마츳테이랏샤,matsutte matsutte irassha,,,
하루히,https://youtu.be/gI2ZRVTSmtY,지금까지의 이야기 (Ima Made No Arasuji),쿈:나가토유키:코이즈미이츠키:아사히나미쿠루:스즈미야하루히,SOS단,지금까지의 이야기,이마마데노아라스지,ima made no arasuji,지금까지의줄거리,,
하루히,https://www.youtube.com/watch?v=30OD6E7QaIY,짐노페디 1번,,,짐노페디1,짐노페디다이이치반,Gyumnopedies Dai 1 Ban,Gyumnopedies No1,,
하루히,https://youtu.be/2dV-VPDKGdU,찾아봐요 Happy Life (Mitsukete Happy Life),아사히나 미쿠루,,찾아봐요 Happy Life,미츠케테 happy life,mitsukete happy life,,,
하루히,https://youtu.be/c1EvBL8Vg_s,찾아봐요 Happy Life 리믹스,,,찾아봐요해피라이프리믹스,미츠케테해피라이프리믹스,Mitsukete happy life remix,,,
케이온,https://youtu.be/38EyQ6Of10g,천사를 만났어,,,천사를 만났어,텐시니후레타요,Tenshi ni furetayo,,,
하루히,https://youtu.be/l-8Daiqs4xc,청춘 좋지 않은가 (Seishun Ii Ja Nai Ka),츠루야,,청춘 좋지 않은가,세이슌이이쟈나이카,seishun ii ja nai ka,,,
하루히,https://www.youtube.com/watch?v=YuRuyGUEpok&feature=emb_title,최강 퍼레 퍼레이드 (Saikyou Pare Parade),스즈미야하루히:나가토유키:아사히나미쿠루,,최강퍼레퍼레이드,사이쿄우파레파레이도,Saikyou Pare Parede,최강파레파레이드,파레파레,
